,Project Name,Package Name,Type Name,MethodName,LOC,CC,PC,,,,,
,.,org.gjt.sp.jedit.search,HyperSearchResults,processNode,3,1,1,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,class level,,,,,,,,,,,
Version ,Type Name ,NOF ,NOPF ,NOM ,NOPM ,LOC ,WMC ,NC ,DIT ,LCOM ,FANIN ,FAN-OUT 
original ,HyperSearchResults ,26 ,6 ,60 ,37 ,637 ,132 ,0 ,1 ,0.2166 ,5 ,28 
modified ,HyperSearchResults ,26 ,6 ,60 ,37 ,634 ,132 ,0 ,1 ,0.2166 ,5 ,28 
 original ,HighlightingTree ,2 ,0 ,2 ,1 ,54 ,9 ,0 ,0 ,0 ,0 ,4 
modified ,HighlightingTree ,2 ,0 ,2 ,1 ,51 ,9 ,0 ,0 ,0 ,0 ,4 
 original ,StatusBar ,25 ,0 ,22 ,20 ,306 ,59 ,0 ,0 ,0.272 ,4 ,14 
modified ,StatusBar ,25 ,0 ,22 ,20 ,329 ,62 ,0 ,0 ,0.272 ,4 ,14 
 original ,StatusBarOptionPane ,28 ,0 ,14 ,8 ,359 ,41 ,0 ,2 ,0.21428571 ,0 ,9 
,,,,,,,,,,,,
modified ,StatusBarOptionPane ,30 ,0 ,14 ,8 ,369 ,41 ,0 ,2 ,0.214285714 ,0 ,9 
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,method level/ original,,,,,,,,,,,
version ,Type Name ,MethodName ,LOC ,CC ,PC ,,,,,,,
original ,HyperSearchResults ,convertValueToText ,42 ,7 ,6 ,,,,,,,
modified ,HyperSearchResults ,convertValueToText ,39 ,7 ,6 ,,,,,,,
original ,StatusBar ,updateCaretStatus ,54 ,12 ,0 ,,,,,,,
modified ,StatusBar ,updateCaretStatus ,77 ,15 ,0 ,,,,,,,
original ,StatusBarOptionPane ,_init ,89 ,2 ,0 ,,,,,,,
original ,StatusBarOptionPane ,_save ,20 ,3 ,0 ,,,,,,,
modified ,StatusBarOptionPane ,_init ,95 ,2 ,0 ,,,,,,,
modified ,StatusBarOptionPane ,_save ,22 ,3 ,0 ,,,,,,,
