Project Name,Package Name,Type Name,LCOM,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,FANIN,FANOUT
.,org.gjt.sp.jedit,SingleElementEnumeration,0,1,0,3,2,17,4,0,0,0,0
.,org.gjt.sp.jedit,MiscUtilities,0.403508772,9,0,57,48,991,244,0,0,79,15
.,org.gjt.sp.jedit,VarCompressor,0,2,0,3,0,71,26,0,0,1,2
.,org.gjt.sp.jedit,JEditKillRing,0.375,4,1,8,7,109,19,0,2,0,9
.,org.gjt.sp.jedit,KillRingHandler,0.4,3,1,5,5,34,8,0,0,1,2
.,org.gjt.sp.jedit,IPropertyManager,-1,0,0,1,0,13,1,1,0,7,0
.,org.gjt.sp.jedit,ServiceListHandler,0.2,7,0,10,6,70,13,0,0,0,5
.,org.gjt.sp.jedit,Mode,0.074074074,9,0,27,24,296,55,1,0,15,6
.,org.gjt.sp.jedit,GUIUtilities,0.252525253,18,0,99,88,1349,193,0,0,128,21
.,org.gjt.sp.jedit,UnixWorkaround,0,6,0,4,4,61,11,0,0,0,2
.,org.gjt.sp.jedit,ComponentHandler,-1,0,0,2,2,24,8,0,0,0,1
.,org.gjt.sp.jedit,WindowHandler,-1,0,0,1,1,12,1,0,0,0,2
.,org.gjt.sp.jedit,SizeSaver,0,4,0,8,5,74,13,0,0,1,2
.,org.gjt.sp.jedit,Abbrevs,0.111111111,12,1,18,9,338,65,0,0,6,9
.,org.gjt.sp.jedit,Expansion,0,4,0,1,0,46,13,0,0,1,0
.,org.gjt.sp.jedit,SplitConfigParser,0.210526316,12,0,19,19,205,41,0,0,2,3
.,org.gjt.sp.jedit,BufferSet,0.222222222,4,0,9,9,62,16,0,0,2,2
.,org.gjt.sp.jedit,Split,0,4,0,5,5,29,7,0,0,1,0
.,org.gjt.sp.jedit,JEditRegistersListener,-1,0,0,1,1,10,1,0,1,0,1
.,org.gjt.sp.jedit,Autosave,0.75,1,0,4,3,40,12,0,0,1,3
.,org.gjt.sp.jedit,Macros,0.210526316,19,0,57,49,658,109,0,0,12,15
.,org.gjt.sp.jedit,Macro,0.5,3,0,6,6,41,7,0,2,4,3
.,org.gjt.sp.jedit,Recorder,0,6,0,9,6,98,21,0,0,6,6
.,org.gjt.sp.jedit,Handler,0.428571429,3,0,7,6,45,7,1,0,3,5
.,org.gjt.sp.jedit,BeanShellHandler,-1,0,0,4,3,15,4,0,1,0,3
.,org.gjt.sp.jedit,AbstractOptionPane,0.294117647,4,0,17,14,233,24,29,1,6,2
.,org.gjt.sp.jedit,RegistersListener,-1,0,0,1,0,8,1,1,0,1,0
.,org.gjt.sp.jedit,OptionGroup,0,4,0,13,12,99,20,2,0,10,3
.,org.gjt.sp.jedit,RegisterSaver,-1,0,0,2,0,9,2,1,0,1,0
.,org.gjt.sp.jedit,Registers,0.214285714,8,0,42,30,483,97,0,0,13,14
.,org.gjt.sp.jedit,Register,-1,0,0,4,0,16,4,2,0,6,0
.,org.gjt.sp.jedit,ClipboardRegister,0,1,0,5,5,39,6,0,1,0,2
.,org.gjt.sp.jedit,DefaultRegister,0,1,0,4,4,27,6,0,1,0,1
.,org.gjt.sp.jedit,View,0.117647059,58,28,102,82,1378,271,0,1,147,39
.,org.gjt.sp.jedit,CaretHandler,-1,0,0,1,1,5,2,0,0,0,0
.,org.gjt.sp.jedit,FocusHandler,-1,0,0,1,1,11,4,0,0,0,0
.,org.gjt.sp.jedit,ScrollHandler,-1,0,0,2,2,7,3,0,1,0,1
.,org.gjt.sp.jedit,WindowHandler,-1,0,0,2,2,14,5,0,0,0,4
.,org.gjt.sp.jedit,ViewConfig,0.666666667,9,9,3,3,27,3,0,0,9,2
.,org.gjt.sp.jedit,MyFocusTraversalPolicy,-1,0,0,1,1,5,1,0,0,0,1
.,org.gjt.sp.jedit,SetCursorVisitor,0,1,0,2,1,9,2,0,2,0,1
.,org.gjt.sp.jedit,JEditActionContext,0.285714286,4,0,7,7,102,15,1,0,2,1
.,org.gjt.sp.jedit,BeanShell,0.35,2,0,20,13,275,34,0,0,21,14
.,org.gjt.sp.jedit,MyBeanShellFacade,-1,0,0,5,0,47,7,0,1,0,4
.,org.gjt.sp.jedit,EditPlugin,0.36,3,0,25,18,325,39,3,0,16,6
.,org.gjt.sp.jedit,Broken,0,1,0,2,1,16,2,0,1,0,1
.,org.gjt.sp.jedit,Deferred,0.5,1,0,4,2,22,4,0,1,0,1
.,org.gjt.sp.jedit,JEditAbstractEditAction,0,2,0,7,5,55,7,2,0,2,0
.,org.gjt.sp.jedit,PerspectiveManager,0.307692308,12,0,13,11,228,50,0,0,5,13
.,org.gjt.sp.jedit,PerspectiveHandler,0.285714286,8,0,7,5,82,31,0,0,2,8
.,org.gjt.sp.jedit,EditPane,0.083333333,17,6,48,43,744,166,0,1,25,24
.,org.gjt.sp.jedit,CaretInfo,-1,6,6,0,0,11,0,0,0,1,0
.,org.gjt.sp.jedit,StatusHandler,-1,0,0,3,3,28,9,0,1,0,3
.,org.gjt.sp.jedit,MarkerHighlight,0,2,0,6,6,47,13,0,1,0,3
.,org.gjt.sp.jedit,TextUtilities,0.551724138,8,8,29,28,700,177,0,0,19,5
.,org.gjt.sp.jedit,Debug,0,22,22,1,1,116,3,0,0,25,0
.,org.gjt.sp.jedit,OptionPane,-1,0,0,4,0,24,4,1,0,4,0
.,org.gjt.sp.jedit,EBPlugin,1,1,0,2,1,22,3,0,1,0,3
.,org.gjt.sp.jedit,Buffer,0.063157895,39,12,95,71,1348,263,0,1,87,27
.,org.gjt.sp.jedit,ActionListHandler,0.2,9,0,10,6,90,19,0,0,0,4
.,org.gjt.sp.jedit,Marker,0,4,0,7,2,58,8,0,0,8,1
.,org.gjt.sp.jedit,EditBus,0.176470588,8,0,17,13,208,40,0,0,37,8
.,org.gjt.sp.jedit,EBMessageHandler,0,3,0,1,0,10,1,0,0,2,0
.,org.gjt.sp.jedit,HandlerList,0,3,0,5,5,66,20,0,0,1,2
.,org.gjt.sp.jedit,SendMessage,0,1,0,2,2,16,2,0,0,0,3
.,org.gjt.sp.jedit,ModeCatalogHandler,0.5,2,0,4,2,39,9,0,0,0,5
.,org.gjt.sp.jedit,JEditMode,0.666666667,1,0,6,5,82,13,0,1,0,2
.,org.gjt.sp.jedit,BeanShellFacade,0.125,4,0,16,7,191,30,2,0,3,9
.,org.gjt.sp.jedit,PropertyManager,0.1,6,0,20,2,117,34,0,0,1,2
.,org.gjt.sp.jedit,EditAction,0.928571429,2,0,14,14,118,16,6,1,21,5
.,org.gjt.sp.jedit,Wrapper,0,2,0,2,2,28,3,0,0,0,3
.,org.gjt.sp.jedit,BufferHistory,0.111111111,15,6,18,12,276,46,0,0,5,12
.,org.gjt.sp.jedit,Entry,0,5,5,3,3,23,3,0,0,2,1
.,org.gjt.sp.jedit,RecentHandler,0.666666667,7,1,3,3,42,10,0,0,1,2
.,org.gjt.sp.jedit,EditServer,0.333333333,5,0,9,5,175,27,0,0,4,10
.,org.gjt.sp.jedit,BeanShellAction,0,8,0,10,10,99,15,0,2,0,8
.,org.gjt.sp.jedit,CachedBshMethod,0,3,0,3,3,24,5,0,0,1,2
.,org.gjt.sp.jedit.options,BrowserContextOptionPane,-1,0,0,3,1,24,3,0,3,0,1
.,org.gjt.sp.jedit.options,FirewallOptionPane,0.5,9,0,4,4,60,4,0,2,0,1
.,org.gjt.sp.jedit.options,ActionHandler,-1,0,0,1,1,11,1,0,0,5,0
.,org.gjt.sp.jedit.options,BrowserColorsOptionPane,0.25,6,0,8,4,117,16,0,2,0,5
